user_id,echo_id,cost,main_stat,sub_stats
1,0,1,"{""1"": 4.5}","{""1"": 50.0, ""2"": 400.0, ""3"": 50.0, ""4"": 7.0, ""5"": 7.0}"
1,1,1,"{""1"": 4.5}","{""1"": 50.0, ""2"": 400.0, ""3"": 50.0, ""4"": 7.0, ""5"": 7.0}"
1,2,1,"{""1"": 4.5}","{""1"": 50.0, ""2"": 400.0, ""3"": 50.0, ""4"": 7.0, ""5"": 7.0}"
1,3,1,"{""1"": 4.5}","{""1"": 50.0, ""2"": 400.0, ""3"": 50.0, ""4"": 7.0, ""5"": 7.0}"
1,4,3,"{""1"": 6.0}","{""1"": 50.0, ""2"": 400.0, ""3"": 50.0, ""4"": 7.0, ""5"": 7.0}"
1,5,4,"{""1"": 30.0}","{""1"": 50.0, ""2"": 400.0, ""3"": 50.0, ""4"": 7.0, ""5"": 7.0}"
1,6,4,"{""2"": 6.6}","{""1"": 50.0, ""2"": 400.0, ""3"": 50.0, ""4"": 7.0, ""5"": 7.0}"
1,7,4,"{""2"": 6.6}","{""1"": 50.0, ""2"": 400.0, ""3"": 50.0, ""4"": 7.0, ""5"": 7.0}"
1,8,4,"{""5"": 4.4}","{""1"": 50.0, ""2"": 400.0, ""3"": 50.0, ""4"": 7.0, ""5"": 7.0}"
1,9,4,"{""5"": 4.4}","{""1"": 50.0, ""2"": 400.0, ""3"": 50.0, ""4"": 7.0, ""5"": 0.0}"
1,10,4,"{""5"": 4.4}","{""1"": 50.0, ""2"": 400.0, ""3"": 50.0, ""4"": 7.0, ""5"": 7.0}"
1,11,4,"{""5"": 4.4}","{""1"": 50.0, ""2"": 400.0, ""3"": 50.0, ""4"": 7.0, ""5"": 7.0}"
1,12,4,"{""5"": 4.4}","{""1"": 50.0, ""2"": 400.0, ""3"": 50.0, ""4"": 7.0, ""5"": 7.0}"
1,13,4,"{""5"": 4.4}","{""1"": 70.0, ""2"": 400.0, ""3"": 50.0, ""4"": 7.0, ""5"": 7.0}"
1,14,4,"{""5"": 4.4}","{""1"": 30.0, ""2"": 400.0, ""3"": 50.0, ""4"": 7.0, ""5"": 7.0}"
1,15,4,"{""5"": 4.4}","{""1"": 30.0, ""2"": 400.0, ""3"": 50.0, ""4"": 7.0, ""5"": 7.0}"
1,16,4,"{""5"": 4.4}","{""1"": 30.0, ""2"": 400.0, ""3"": 50.0, ""4"": 7.0, ""5"": 7.0}"
